Poor Physical Health Days Average Number of Physically Unhealthy Days,Low Birth Weight % Low Birth Weight,Poor Mental Health Days Average Number of Mentally Unhealthy Days,Poor or Fair Health % Fair or Poor Health,Flu Vaccinations % Vaccinated,Access to Exercise Opportunities % With Access to Exercise Opportunities,Food Environment Index Food Environment Index,Preventable Hospital Stays Preventable Hospitalization Rate,Mammography Screening % with Annual Mammogram,Uninsured % Uninsured,Severe Housing Problems % Severe Housing Problems,Driving Alone to Work % Drive Alone to Work,Long Commute - Driving Alone % Long Commute - Drives Alone,Broadband Access % Households with Broadband Access,Library Access Visits per service area population,Some College % Some College,High School Completion % Completed High School,Unemployment % Unemployed,Children in Poverty % Children in Poverty,Child Care Cost Burden % Household Income Required for Child Care Expenses,Drinking Water Violations Presence of Water Violation_Yes,Premature Death %,Primary Care Physicians %,Injury Deaths %,south,midwest,northeast,west,Social Associations per 1000,Mental Health Providers per 1000,Dentists per 1000,dep_prevalence
4.3003635569,-2.7880765101261415,0.4925046670348179,-1.9206711924905404,0.36,0.42992199548297577,0.3699383429875861,0.6372401407426861,0.46,-2.676212728309231,-1.6995687820362786,0.6028602466161305,0.42100000000000004,0.6117268492510981,0.3994249835023062,0.61378732185,0.49075635872861273,-3.8638636161233344,-1.411346740718541,-1.4826241813192433,False,0.6638534142943123,0.00043020716129459264,-180.62615308129918,1,0,0,0,0.16016396980568465,0.0010034408249071025,0.014989298201975563,18
3.8764361413,-3.0918665559331644,0.5321663915747449,-1.9702612573781935,0.44,0.5058841630502463,0.4584532273263283,0.5048296113174546,0.45,-2.425664305779752,-1.7858726884976206,0.46488741656305327,0.381,0.5739261932300128,0.5388909492337041,0.6484787528299999,0.5474414154624131,-3.8224110678754393,-1.5249448882587484,-1.596871006188906,False,0.6436233630148405,0.000590302510359809,-153.77160223569206,1,0,0,0,0.1358835881936414,0.003319476477945799,0.022974489362445522,18
5.4310302942,-2.4750424747600053,0.5995528484971058,-1.3568023321227909,0.39,0.4337104238671706,0.29338813065940395,0.56899911502516,0.47,-2.2334769338867138,-1.6846108761038934,0.5239779348943583,0.375,0.18852681626326168,0.3493778343313772,0.44077431249,0.18173062101821003,-3.14449105505563,-0.9196842654259841,-1.2259544871140884,False,0.7483683499103359,0.00040577828274630736,-136.17465463184877,1,0,0,0,0.12897252877505827,0.0007829817470942577,0.01633741322899592,19
5.0556189336,-2.7849427766106825,0.6472539278594335,-1.5010939188734174,0.31,0.3211358342163577,0.4428352487656668,0.6882274234005517,0.36,-2.3588719894198547,-1.7883048754016675,0.7102675395347879,0.535,0.34358475490545765,0.3876398260545182,0.43533225284,0.22436961486089116,-3.7435671132877353,-1.263521555545139,-1.2952533903590597,True,0.7433957043862989,0.0006852444038373687,-117.66190924696924,1,0,0,0,0.12539885581527094,0.001007416415865869,0.01149552340153539,24
4.8024000348,-3.1848089041653878,0.6225033303728926,-1.6253122884741116,0.37,0.31098898245402534,0.4584532273263283,0.4172598612215101,0.38,-2.1973051752000767,-1.8924404664051433,0.6082360850226481,0.614,0.40791283084845414,0.4035167206688506,0.52627112651,0.2717830279131391,-3.884903195659234,-1.4261256792163792,-1.34197525697324,False,0.7243902679670052,0.00020074610636197868,-123.5126701577621,1,0,0,0,0.1063418705901111,0.0007839341863010979,0.008419191570657935,22
5.8141217665,-2.302936208666111,0.635752443068509,-1.1206700449102056,0.33,0.31604316808325306,0.12727781660655157,0.6381999107394278,0.46,-2.3009331432341593,-1.743028094962367,0.701623185875794,0.428,0.10391513622987746,0.30769713719110287,0.36313868612999994,0.13114363450355826,-3.7792816232236737,-0.8166059746843627,-0.8656766699346233,False,0.7606631078857038,0.00020185708518368994,-101.9984137976655,1,0,0,0,0.072907086081324,0.0005564277690579297,0.010158942561954367,14
5.2460762338,-2.4161911583446023,0.5814055467946576,-1.459727439298303,0.35,0.31494964902836,0.39807357115553405,0.6035708524691136,0.42,-2.4072452389617864,-1.918165383336838,0.6105951998961132,0.342,0.3144200842666787,0.3642638342640903,0.41576649046,0.39976502639369105,-3.569789769129478,-0.8648210881057178,-1.0760847978235215,False,0.7732546529522731,0.00027237566051097674,-96.74794506065763,1,0,0,0,0.13379286322595071,0.0024026088514794218,0.019191142897175658,15
4.9712460628,-2.8715582140280276,0.6516999800495596,-1.6849285252179196,0.37,0.5377965146331216,0.2593435614623641,0.5714247200536994,0.36,-2.2599974731109445,-1.7625901191899167,0.6094330649493404,0.307,0.4440148877373066,0.4434469053908311,0.5414905139599999,0.35556774297351784,-3.6052892647411596,-1.066340686415158,-1.3462479289948677,False,0.7584736937434415,0.0005841773837444052,-121.74833947620843,1,0,0,0,0.19982390287517512,0.004499396080027722,0.03242661365165971,22
4.8482805596,-2.4072255352791996,0.5995910927027469,-1.428644961814568,0.41,0.38467537415583825,0.3838378829521382,0.5397840755300937,0.39,-2.1776357747545814,-1.6150792473580955,0.6390926335988962,0.33399999999999996,0.29476953396217365,0.3797838643471224,0.52516491571,0.29270890409073774,-3.77641286844341,-1.1311753397113355,-1.1983558689043083,False,0.7513701975964566,0.00041071376184469155,-123.28375859901529,1,0,0,0,0.2373476744685684,0.0004043393622074374,0.010335078187093425,18
4.8918141448,-3.186106146347046,0.5569682985487221,-1.80260333579377,0.45,0.20465751491981948,0.39807357115553405,0.605684970163758,0.36,-2.133370661915707,-2.017643528581769,0.6319669659692267,0.44299999999999995,0.3241393706475892,0.6785428534401005,0.5010112153,0.29851898790976084,-3.771560948053752,-1.2918102798207196,-1.506496042892424,False,0.7748829994674121,0.00042801556420233466,-109.02019822671566,1,0,0,0,0.11243010255155768,0.0018233943134054757,0.007833058591738823,25
4.7136912739,-2.8964008286691065,0.5303826909737778,-1.796404946237816,0.4,0.21542414544703048,0.4275684869672758,0.4802656697247107,0.37,-2.1394705183719966,-1.7351105291286875,0.5205009080705091,0.504,0.3652533532294367,0.33415151689928024,0.46126141954,0.3061748580255963,-3.8620042809381725,-1.260432509994292,-1.344181033672889,False,0.7342066893732108,0.000214938205265986,-125.7009488201319,1,0,0,0,0.2266847021998682,0.002310697120872786,0.012980737612532258,21
5.1174926515,-2.6767105817550414,0.6125479454942953,-1.4374318704820008,0.34,0.16666389626295608,0.29338813065940395,0.5071606426432224,0.47,-2.3254254071164393,-1.693946741623427,0.5075146759832262,0.565,0.18087212819469453,0.2815397317756957,0.4762100082,0.3069448249459214,-3.2477325613659103,-0.8982387121960008,-1.1417787281772156,True,0.754437389891801,0.00040773057163826144,-97.29727212628713,1,0,0,0,0.2827484598132626,0.0004495707686394821,0.024624024195672483,17
5.1585646192,-2.3910897673727036,0.662681922653821,-1.4507521753620851,0.28,0.42574991297373105,0.20851308057738788,0.486942409744066,0.33,-2.2938547887007896,-1.7840092599902244,0.7600099828603676,0.363,0.17087661563405981,0.3764759373079859,0.41390021355,0.3334955489682517,-3.0230266455285664,-1.061336658959034,-1.2438324232886215,False,0.7751035995583206,0.0004034969737726967,-112.46763209966512,1,0,0,0,0.23965430288338085,0.0028424341117237674,0.018050625941061445,13
5.0592719122,-2.9669873244634055,0.6158235452275459,-1.5247980817421132,0.4,0.5366745130290426,0.4275684869672758,0.4724136578868194,0.41,-2.3883000037005946,-1.903531934796708,0.46662954228318054,0.40299999999999997,0.27600925708932933,0.5274456664878954,0.51806509406,0.2731067649359066,-3.789150297372387,-1.1583915944835026,-1.3569514483290597,False,0.7524145833094991,0.0002825457370911916,-103.42044168613728,1,0,0,0,0.15307552636019456,0.0005841371409012469,0.007109896369558796,19
4.9134294659,-3.0363100371900567,0.5803650035176405,-1.5992773471375328,0.36,0.31224130518268706,0.4584532273263283,0.5970105155735883,0.3,-2.208814495650568,-2.034154012628825,0.6805693791608683,0.594,0.231281153118385,0.0586762636474327,0.50549450549,0.33688427120431574,-3.8256150797433826,-1.2542858601516287,-1.4841271699264176,False,0.7421923098790096,0.00025546046749265553,-113.1145858078816,1,0,0,0,0.11994794118813201,0.001232328661092789,0.2587175884531869,17
4.6304141509,-3.0814754439423644,0.4646844689667929,-1.80260333579377,0.36,0.407081168374773,0.35637117090184406,0.5383572747049542,0.44,-2.2902657527804613,-1.8197049162959071,0.6098859891850753,0.311,0.48634118107338026,0.41640093976931364,0.61432349367,0.35382122043167197,-3.7253180046724292,-1.2759845435510957,-1.5659237949158433,True,0.6896304625026533,0.0005026298310804746,-155.03702606416536,1,0,0,0,0.17116694486146458,0.003018456087075089,0.017165179018552728,22
