fips,county,state,dep_prevalence,Households Total,Households Mean income (dollars),Households Median income (dollars),Premature Death Deaths,Premature Death Years of Potential Life Lost Rate,Premature Death National Z-Score,Poor Physical Health Days Average Number of Physically Unhealthy Days,Poor Physical Health Days National Z-Score,Low Birth Weight % Low Birth Weight,Low Birth Weight National Z-Score,Poor Mental Health Days Average Number of Mentally Unhealthy Days,Poor Mental Health Days National Z-Score,Poor or Fair Health % Fair or Poor Health,Poor or Fair Health National Z-Score,Flu Vaccinations % Vaccinated,Flu Vaccinations National Z-Score,Access to Exercise Opportunities % With Access to Exercise Opportunities,Access to Exercise Opportunities National Z-Score,Food Environment Index Food Environment Index,Food Environment Index National Z-Score,Primary Care Physicians # Primary Care Physicians,Primary Care Physicians Primary Care Physicians Rate,Primary Care Physicians Primary Care Physicians Ratio,Primary Care Physicians National Z-Score,Mental Health Providers # Mental Health Providers,Mental Health Providers Mental Health Provider Rate,Mental Health Providers Mental Health Provider Ratio,Mental Health Providers National Z-Score,Dentists # Dentists,Dentists Dentist Rate,Dentists Dentist Ratio,Dentists National Z-Score,Preventable Hospital Stays Preventable Hospitalization Rate,Preventable Hospital Stays National Z-Score,Mammography Screening % with Annual Mammogram,Mammography Screening National Z-Score,Uninsured # Uninsured,Uninsured % Uninsured,Uninsured National Z-Score,Severe Housing Problems % Severe Housing Problems,Severe Housing Problems Severe Housing Cost Burden,Severe Housing Problems Overcrowding,Severe Housing Problems Inadequate Facilities,Severe Housing Problems National Z-Score,Driving Alone to Work % Drive Alone to Work,Driving Alone to Work National Z-Score,Long Commute - Driving Alone # Workers who Drive Alone,Long Commute - Driving Alone % Long Commute - Drives Alone,Long Commute - Driving Alone National Z-Score,Air Pollution: Particulate Matter Average Daily PM2.5,Air Pollution: Particulate Matter National Z-Score,Drinking Water Violations Presence of Water Violation,Drinking Water Violations National Z-Score,Broadband Access % Households with Broadband Access,Broadband Access # Households with Broadband Access,Broadband Access National Z-Score,Library Access Visits per service area population,Library Access National Z-Score,Some College # Some College,Some College Population,Some College % Some College,Some College National Z-Score,High School Completion # Completed High School,High School Completion Population,High School Completion % Completed High School,High School Completion National Z-Score,Unemployment # Unemployed,Unemployment Labor Force,Unemployment % Unemployed,Unemployment National Z-Score,Income Inequality 80th Percentile Income,Income Inequality 20th Percentile Income,Income Inequality Income Ratio,Income Inequality National Z-Score,Children in Poverty % Children in Poverty,Children in Poverty National Z-Score,Injury Deaths # Injury Deaths,Injury Deaths Injury Death Rate,Injury Deaths National Z-Score,Social Associations # Associations,Social Associations Social Association Rate,Social Associations National Z-Score,Child Care Cost Burden % Household Income Required for Child Care Expenses,Child Care Cost Burden National Z-Score
01001,Autauga County,ALABAMA,18,,,,1008.0,9938.2633823,-0.144182044,4.3003635569,-0.250622057,9.9958263773,0.7399558401,5.832900762,0.2998772984,17.7,-0.399319563,36.0,0.5193098709,54.491964969,0.3460819774,6.8,0.5790062443,26.0,43.996950000000005,2273:1,0.279896449,22.0,36.45885,2743:1,0.7527000912,18.0,30.120990000000003,3320:1,0.5481062048,4365.0,1.4218844065,46.0,-0.377210708,4053.0,8.1903607154,-0.488545753,13.520933425,11.749710313,1.4596202242,1.0295126973,0.1549300874,84.916221827,1.04333128,26976.0,42.1,0.6904643939,9.3,0.8083548953,No,-0.77460513,90.880433335,20469.0,-0.996368457,1.1245687112,0.6305140318,9518.0,15507.0,61.378732185,-0.20550947,36804.0,40767.0,90.278902053,-0.289994477,591.0,27000.0,2.1888888889,-1.163925686,132562.0,31018.0,4.2737120382,-0.367341806,17.0,-0.249566068,189.0,65.975725122,-1.126700213,67.0,11.21170033,0.0434292504,21.835107542,-0.961825442
01003,Baldwin County,ALABAMA,18,105698.0,98279.0,72915.0,3944.0,8957.1126859,-0.400273536,3.8764361413,-0.893693146,8.1332855607,-0.13416471,6.020777623,0.6111698853,17.0,-0.54596008,44.0,-0.255062057,61.624390012,0.0299776272,7.4,0.0673679473,150.0,62.6844,1595:1,-0.23561911,306.0,120.70673,828:1,0.3900967584,116.0,47.07124,2124:1,0.052000447,2888.0,0.0542519806,45.0,-0.255930603,19478.0,10.212342054,-0.051498912,11.96811561,10.149443194,1.462323661,0.7053561188,-0.199796552,80.296745226,0.4293315824,108241.0,38.1,0.3753650391,7.8,0.0586194481,No,-0.77460513,89.750850574,84942.0,-0.823737702,3.8620967643,-0.578865524,36106.0,55678.0,64.847875283,-0.504671243,157767.0,171988.0,91.731399865,-0.559024717,2380.0,104409.0,2.2794969782,-1.089262137,141920.0,32554.0,4.3595257111,-0.259987052,14.1,-0.607835613,953.0,82.420053413,-0.579001548,239.0,9.6982977256,0.3087394826,19.354056675,-1.316050617
01005,Barbour County,ALABAMA,19,,,,587.0,12738.656137,0.5867523182,5.4310302942,1.4645279035,12.454212454,1.8937162142,6.3399860323,1.1400653062,28.4,1.8421854805,39.0,0.228920398,54.858660746,0.3298302636,6.2,1.0906445414,10.0,40.05768,2496:1,0.388565973,7.0,28.47265,3512:1,0.7870727643,8.0,32.3808,3088:1,0.4819652414,3560.0,0.676492326,47.0,-0.498490814,2025.0,12.117041647,0.3601977365,13.806380638,9.5123350545,4.3454345435,0.6050605061,0.2201378212,82.40850059,0.710016445,8470.0,37.5,0.3281001359,8.8,0.5584430796,No,-0.77460513,72.301762115,6565.0,1.8429542976,0.6935785096,0.8209160034,2869.0,6509.0,44.077431249,1.2864693028,13717.0,17628.0,77.813705469,2.0187971743,352.0,7944.0,4.4310171198,0.6836494178,99138.0,17658.0,5.6143391098,1.3098115386,34.8,1.9494676941,106.0,85.603992699,-0.472956517,22.0,8.9047195013,0.4478593853,28.57962824,0.0011048475
01007,Bibb County,ALABAMA,24,,,,509.0,11708.948038,0.3179867917,5.0556189336,0.8950526028,10.017472335,0.7501146386,6.5659451695,1.5144562982,25.1,1.1508801866,31.0,1.0032923258,43.390301888,0.8381003264,7.3,0.1526409968,15.0,66.73487999999999,1498:1,-0.347356687,8.0,36.58314,2734:1,0.7521651724,5.0,22.72211,4401:1,0.7646590984,5029.0,2.0367171288,36.0,0.8355903459,1758.0,10.835798817,0.0832599028,11.926605505,9.0510535992,0.9174311927,1.9760056457,-0.209279145,87.893346145,1.4390370253,8326.0,53.5,1.5884975551,8.6,0.4584783533,Yes,1.2905559619,81.151763307,6144.0,0.4904350853,1.0057236304,0.683017169,2686.0,6170.0,43.533225284,1.3333989384,12799.0,15931.0,80.340217187,1.5508391182,216.0,8772.0,2.462380301,-0.938561268,102593.0,19188.0,5.3467271211,0.9750231763,21.4,0.2940153117,111.0,99.630201415,-0.005796311,19.0,8.6344012724,0.4952480919,26.582775547,-0.283990273
01009,Blount County,ALABAMA,22,,,,1273.0,11898.088409,0.36735458,4.8024000348,0.5109355416,7.6463049979,-0.36271257,6.4487020436,1.3201965274,22.6,0.6271640549,37.0,0.42251338,42.292082389,0.8867726867,7.4,0.0673679473,12.0,20.324859999999997,4920:1,0.9329196372,17.0,28.42049,3519:1,0.7872972458,10.0,16.80333,5951:1,0.9378918411,2099.0,-0.676324854,38.0,0.593030135,6024.0,12.515582149,0.4463413939,10.258215962,7.5005979431,1.9906103286,1.220657277,-0.59040706,85.076170399,1.0645909125,25141.0,61.4,2.2108187809,8.8,0.5584430796,No,-0.77460513,83.928652682,18445.0,0.0660513877,1.1686912499,0.6110216667,7442.0,14141.0,52.627112651,0.54918699,33898.0,40991.0,82.696201605,1.1144659636,554.0,25836.0,2.1442947825,-1.200672451,117729.0,25484.0,4.6197221786,0.0655243332,16.6,-0.298982557,287.0,98.254695342,-0.05160924,44.0,7.3934668638,0.7127927131,25.31326006,-0.465241835
01011,Bullock County,ALABAMA,14,,,,251.0,15998.089209,1.4375014248,5.8141217665,2.0456534482,14.102564103,2.6673143209,6.5114628472,1.4241847077,34.9,3.0,33.0,0.8096993438,42.840590905,0.8624631529,4.4,2.6255594326,2.0,19.379839999999998,5160:1,0.9589889849,2.0,20.20814,4949:1,0.8226432281,2.0,19.604,5101:1,0.8559209994,4377.0,1.4329958413,46.0,-0.377210708,753.0,11.409090909,0.2071757339,12.719298246,13.260530421,0.730994152,0.0,-0.028195937,87.669300226,1.4092578667,3544.0,42.8,0.745606781,8.4,0.358513627,No,-0.77460513,64.986967854,2244.0,2.9608524262,0.4550759634,0.9262811715,995.0,2740.0,36.313868613,1.9559606143,5463.0,7378.0,74.044456492,2.7169338229,107.0,4500.0,2.3777777778,-1.008276065,83338.0,12243.0,6.8069917504,2.8018456824,39.8,2.567173807,59.0,116.28594517,0.5489438079,5.0,4.900999804,1.1497399026,41.52856038,1.8498528206
01013,Butler County,ALABAMA,15,,,,497.0,14616.39262,1.0768628987,5.2460762338,1.1839642865,12.991339107,2.1457984458,6.2540225973,0.997632758,26.0,1.3394179941,35.0,0.6161063619,42.722166815,0.86771163,7.0,0.4084601453,5.0,26.477439999999998,3777:1,0.7631932632,16.0,87.04167,1149:1,0.5349913461,7.0,37.53351,2664:1,0.3311538348,3956.0,1.0431696725,42.0,0.1079097133,1479.0,10.380404267,-0.015172632,9.8774885145,7.8193146417,0.5206738132,1.7611026034,-0.677380668,85.145960625,1.0738671101,7365.0,34.2,0.0681431682,8.4,0.358513627,No,-0.77460513,79.757642523,5792.0,0.7034943951,0.802799506,0.7726645745,1809.0,4351.0,41.576649046,1.5021244131,11531.0,13164.0,87.59495594,0.2071234252,263.0,9009.0,2.9193029193,-0.562044509,101558.0,19479.0,5.2137173366,0.8086250708,37.4,2.2706748728,116.0,120.62475303,0.693453163,17.0,9.1152815013,0.4109463702,33.405620515,0.6901225472
01015,Calhoun County,ALABAMA,22,46310.0,74716.0,50780.0,2916.0,14259.564795,0.9837267775,4.9712460628,0.7670642917,9.4386920981,0.4784837058,6.5870060371,1.5493519842,21.5,0.396728957,37.0,0.42251338,64.4927474,-0.097146071,5.9,1.3464636899,68.0,58.634840000000004,1705:1,-0.123907304,190.0,163.18958,613:1,0.2072502988,75.0,64.77355,1544:1,-0.466117037,3587.0,0.7014930542,36.0,0.8355903459,10537.0,11.833342692,0.2988768283,12.371599503,10.657955066,1.5690258494,1.0949317079,-0.107624448,85.111611291,1.0693015538,48427.0,30.7,-0.207568767,8.9,0.6084254427,No,-0.77460513,85.338504155,38509.0,-0.149411996,1.688379436,0.3814348805,15498.0,28621.0,54.149051396,0.4179425068,67687.0,78627.0,86.086204484,0.4865729101,1284.0,45540.0,2.8194993412,-0.644285392,106467.0,21864.0,4.8695115258,0.3780161871,28.5,1.1711579919,568.0,99.10820068,-0.02318219,161.0,13.904722424,-0.428676662,25.20013117,-0.4813935
01017,Chambers County,ALABAMA,18,,,,824.0,12568.860637,0.5424337614,4.8482805596,0.5805333972,13.075506446,2.1852995399,6.3401671944,1.1403654731,26.7,1.4860585109,41.0,0.0353274161,50.014379386,0.5445256025,6.9,0.4937331948,14.0,40.53154,2467:1,0.3754939986,5.0,14.67179,6816:1,0.846471718,7.0,20.53509,4870:1,0.8286696403,3244.0,0.3838912112,39.0,0.4717500296,3324.0,12.738072428,0.4944321807,15.2,8.7941628264,6.019047619,0.8380952381,0.5384970698,85.970381917,1.1834454169,14113.0,33.4,0.0051232972,8.9,0.6084254427,No,-0.77460513,78.761457635,10569.0,0.855738352,0.9329016889,0.7151882977,4299.0,8186.0,52.516491571,0.5587264058,20474.0,24484.0,83.621957197,0.9429984087,388.0,16272.0,2.3844641101,-1.002766344,101462.0,19895.0,5.0998743403,0.6662050302,26.0,0.8623049355,164.0,97.408575518,-0.079790305,56.0,16.428068529,-0.871037167,29.414566382,0.1203108316
01019,Cherokee County,ALABAMA,25,,,,702.0,12680.903028,0.5716780999,4.8918141448,0.6465710937,7.6397515528,-0.365788207,6.138263801,0.8058323682,19.5,-0.022243948,45.0,-0.351858548,29.982780025,1.4323128083,7.0,0.4084601453,11.0,44.00704,2272:1,0.2796181851,17.0,66.23549,1510:1,0.6245412829,4.0,15.80903,6326:1,0.9669935561,3981.0,1.0663184949,36.0,0.8355903459,2522.0,13.254151776,0.6059816025,8.5139318885,7.7446363161,1.0835913313,0.257997936,-0.988872367,85.767387264,1.1564642962,10223.0,44.3,0.8637690391,8.4,0.358513627,No,-0.77460513,80.232891095,8406.0,0.6308635773,11.577524893,-3.987371616,2725.0,5439.0,50.10112153,0.7670159931,15748.0,18777.0,83.868562603,0.8973223938,284.0,11854.0,2.3958157584,-0.993412275,102080.0,22438.0,4.5494250824,-0.022418848,20.5,0.1828282114,142.0,110.23133054,0.3472873891,20.0,7.9045134772,0.6232026098,21.292553191,-1.039287138
