county_state,fips,population,dep_prevalence,Households Total,Households Mean income (dollars),Households Median income (dollars),Premature Death Deaths,Premature Death Years of Potential Life Lost Rate,Poor Physical Health Days Average Number of Physically Unhealthy Days,Low Birth Weight % Low Birth Weight,Poor Mental Health Days Average Number of Mentally Unhealthy Days,Poor or Fair Health % Fair or Poor Health,Flu Vaccinations % Vaccinated,Access to Exercise Opportunities % With Access to Exercise Opportunities,Food Environment Index Food Environment Index,Primary Care Physicians # Primary Care Physicians,Primary Care Physicians Primary Care Physicians Rate,Primary Care Physicians Primary Care Physicians Ratio,Mental Health Providers # Mental Health Providers,Mental Health Providers Mental Health Provider Rate,Mental Health Providers Mental Health Provider Ratio,Dentists # Dentists,Dentists Dentist Rate,Dentists Dentist Ratio,Preventable Hospital Stays Preventable Hospitalization Rate,Mammography Screening % with Annual Mammogram,Uninsured # Uninsured,Uninsured % Uninsured,Severe Housing Problems % Severe Housing Problems,Severe Housing Problems Severe Housing Cost Burden,Severe Housing Problems Overcrowding,Severe Housing Problems Inadequate Facilities,Driving Alone to Work % Drive Alone to Work,Long Commute - Driving Alone # Workers who Drive Alone,Long Commute - Driving Alone % Long Commute - Drives Alone,Air Pollution: Particulate Matter Average Daily PM2.5,Drinking Water Violations Presence of Water Violation,Broadband Access % Households with Broadband Access,Broadband Access # Households with Broadband Access,Library Access Visits per service area population,Some College # Some College,Some College Population,Some College % Some College,High School Completion # Completed High School,High School Completion Population,High School Completion % Completed High School,Unemployment # Unemployed,Unemployment Labor Force,Unemployment % Unemployed,Income Inequality 80th Percentile Income,Income Inequality 20th Percentile Income,Income Inequality Income Ratio,Children in Poverty % Children in Poverty,Injury Deaths # Injury Deaths,Injury Deaths Injury Death Rate,Social Associations # Associations,Social Associations Social Association Rate,Child Care Cost Burden % Household Income Required for Child Care Expenses
"AUTAUGA COUNTY, ALABAMA",01001,60436,18,,,,1008.0,9938.2633823,4.3003635569,9.9958263773,5.832900762,17.7,36.0,54.491964969,6.8,26.0,43.996950000000005,2273:1,22.0,36.45885,2743:1,18.0,30.120990000000003,3320:1,4365.0,46.0,4053.0,8.1903607154,13.520933425,11.749710313,1.4596202242,1.0295126973,84.916221827,26976.0,42.1,9.3,No,90.880433335,20469.0,1.1245687112,9518.0,15507.0,61.378732185,36804.0,40767.0,90.278902053,591.0,27000.0,2.1888888889,132562.0,31018.0,4.2737120382,17.0,189.0,65.975725122,67.0,11.21170033,21.835107542
"BALDWIN COUNTY, ALABAMA",01003,254107,18,105698.0,98279.0,72915.0,3944.0,8957.1126859,3.8764361413,8.1332855607,6.020777623,17.0,44.0,61.624390012,7.4,150.0,62.6844,1595:1,306.0,120.70673,828:1,116.0,47.07124,2124:1,2888.0,45.0,19478.0,10.212342054,11.96811561,10.149443194,1.462323661,0.7053561188,80.296745226,108241.0,38.1,7.8,No,89.750850574,84942.0,3.8620967643,36106.0,55678.0,64.847875283,157767.0,171988.0,91.731399865,2380.0,104409.0,2.2794969782,141920.0,32554.0,4.3595257111,14.1,953.0,82.420053413,239.0,9.6982977256,19.354056675
"BARBOUR COUNTY, ALABAMA",01005,24644,19,,,,587.0,12738.656137,5.4310302942,12.454212454,6.3399860323,28.4,39.0,54.858660746,6.2,10.0,40.05768,2496:1,7.0,28.47265,3512:1,8.0,32.3808,3088:1,3560.0,47.0,2025.0,12.117041647,13.806380638,9.5123350545,4.3454345435,0.6050605061,82.40850059,8470.0,37.5,8.8,No,72.301762115,6565.0,0.6935785096,2869.0,6509.0,44.077431249,13717.0,17628.0,77.813705469,352.0,7944.0,4.4310171198,99138.0,17658.0,5.6143391098,34.8,106.0,85.603992699,22.0,8.9047195013,28.57962824
"BIBB COUNTY, ALABAMA",01007,21890,24,,,,509.0,11708.948038,5.0556189336,10.017472335,6.5659451695,25.1,31.0,43.390301888,7.3,15.0,66.73487999999999,1498:1,8.0,36.58314,2734:1,5.0,22.72211,4401:1,5029.0,36.0,1758.0,10.835798817,11.926605505,9.0510535992,0.9174311927,1.9760056457,87.893346145,8326.0,53.5,8.6,Yes,81.151763307,6144.0,1.0057236304,2686.0,6170.0,43.533225284,12799.0,15931.0,80.340217187,216.0,8772.0,2.462380301,102593.0,19188.0,5.3467271211,21.4,111.0,99.630201415,19.0,8.6344012724,26.582775547
"BLOUNT COUNTY, ALABAMA",01009,59777,22,,,,1273.0,11898.088409,4.8024000348,7.6463049979,6.4487020436,22.6,37.0,42.292082389,7.4,12.0,20.324859999999997,4920:1,17.0,28.42049,3519:1,10.0,16.80333,5951:1,2099.0,38.0,6024.0,12.515582149,10.258215962,7.5005979431,1.9906103286,1.220657277,85.076170399,25141.0,61.4,8.8,No,83.928652682,18445.0,1.1686912499,7442.0,14141.0,52.627112651,33898.0,40991.0,82.696201605,554.0,25836.0,2.1442947825,117729.0,25484.0,4.6197221786,16.6,287.0,98.254695342,44.0,7.3934668638,25.31326006
"BULLOCK COUNTY, ALABAMA",01011,9908,14,,,,251.0,15998.089209,5.8141217665,14.102564103,6.5114628472,34.9,33.0,42.840590905,4.4,2.0,19.379839999999998,5160:1,2.0,20.20814,4949:1,2.0,19.604,5101:1,4377.0,46.0,753.0,11.409090909,12.719298246,13.260530421,0.730994152,0.0,87.669300226,3544.0,42.8,8.4,No,64.986967854,2244.0,0.4550759634,995.0,2740.0,36.313868613,5463.0,7378.0,74.044456492,107.0,4500.0,2.3777777778,83338.0,12243.0,6.8069917504,39.8,59.0,116.28594517,5.0,4.900999804,41.52856038
"BUTLER COUNTY, ALABAMA",01013,18357,15,,,,497.0,14616.39262,5.2460762338,12.991339107,6.2540225973,26.0,35.0,42.722166815,7.0,5.0,26.477439999999998,3777:1,16.0,87.04167,1149:1,7.0,37.53351,2664:1,3956.0,42.0,1479.0,10.380404267,9.8774885145,7.8193146417,0.5206738132,1.7611026034,85.145960625,7365.0,34.2,8.4,No,79.757642523,5792.0,0.802799506,1809.0,4351.0,41.576649046,11531.0,13164.0,87.59495594,263.0,9009.0,2.9193029193,101558.0,19479.0,5.2137173366,37.4,116.0,120.62475303,17.0,9.1152815013,33.405620515
"CALHOUN COUNTY, ALABAMA",01015,116403,22,46310.0,74716.0,50780.0,2916.0,14259.564795,4.9712460628,9.4386920981,6.5870060371,21.5,37.0,64.4927474,5.9,68.0,58.634840000000004,1705:1,190.0,163.18958,613:1,75.0,64.77355,1544:1,3587.0,36.0,10537.0,11.833342692,12.371599503,10.657955066,1.5690258494,1.0949317079,85.111611291,48427.0,30.7,8.9,No,85.338504155,38509.0,1.688379436,15498.0,28621.0,54.149051396,67687.0,78627.0,86.086204484,1284.0,45540.0,2.8194993412,106467.0,21864.0,4.8695115258,28.5,568.0,99.10820068,161.0,13.904722424,25.20013117
"CHAMBERS COUNTY, ALABAMA",01017,34087,18,,,,824.0,12568.860637,4.8482805596,13.075506446,6.3401671944,26.7,41.0,50.014379386,6.9,14.0,40.53154,2467:1,5.0,14.67179,6816:1,7.0,20.53509,4870:1,3244.0,39.0,3324.0,12.738072428,15.2,8.7941628264,6.019047619,0.8380952381,85.970381917,14113.0,33.4,8.9,No,78.761457635,10569.0,0.9329016889,4299.0,8186.0,52.516491571,20474.0,24484.0,83.621957197,388.0,16272.0,2.3844641101,101462.0,19895.0,5.0998743403,26.0,164.0,97.408575518,56.0,16.428068529,29.414566382
"CHEROKEE COUNTY, ALABAMA",01019,25700,25,,,,702.0,12680.903028,4.8918141448,7.6397515528,6.138263801,19.5,45.0,29.982780025,7.0,11.0,44.00704,2272:1,17.0,66.23549,1510:1,4.0,15.80903,6326:1,3981.0,36.0,2522.0,13.254151776,8.5139318885,7.7446363161,1.0835913313,0.257997936,85.767387264,10223.0,44.3,8.4,No,80.232891095,8406.0,11.577524893,2725.0,5439.0,50.10112153,15748.0,18777.0,83.868562603,284.0,11854.0,2.3958157584,102080.0,22438.0,4.5494250824,20.5,142.0,110.23133054,20.0,7.9045134772,21.292553191
